title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
Beyond Verifiable Rewards: Rubric-Based GRM for Reinforced Fine-Tuning SWE Agents,,Jiawei Huang; Qingping Yang; Renjie Zheng; Jiaze Chen,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG,arXiv
BeyondSWE: Can Current Code Agent Survive Beyond Single-Repo Bug Fixing?,,Guoxin Chen; Fanzhe Meng; Jiale Zhao; Minghao Li; Daixuan Cheng; Huatong Song; Jie Chen; Yuzhi Lin; Hui Chen; Xin Zhao; Ruihua Song; Chang Liu; Cheng Chen; Kai Jia; Ji-Rong Wen,2026,arXiv,SE-G1 AND AI-G2,1,cs.CL,arXiv
BLAgent: Agentic RAG for File-Level Bug Localization,,Md Afif Al Mamun; Gias Uddin,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
BLAZE: Cross-Language and Cross-Project Bug Localization via Dynamic Chunking and Hard Example Learning,10.1109/tse.2025.3579574,P. Chakraborty; M. Alfadel; M. Nagappan,2025,IEEE+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,4,IEEE Transactions on Software Engineering; cs.SE; TSE,TSE
BoostAPR: Boosting Automated Program Repair via Execution-Grounded Reinforcement Learning with Dual Reward Models,,Yuanhao Li; Hongbo Wang; Xiaotang Shang; Xunzhu Tang; Yiming Cao; Xuhong Chen,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Boosting Open-Source LLMs for Program Repair via Reasoning Transfer and LLM-Guided Reinforcement Learning,,Xunzhu Tang; Jacques Klein; Tegawendé F. Bissyandé,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Bridging Bug Localization and Issue Fixing: A Hierarchical Localization Framework Leveraging Large Language Models,10.1109/tse.2026.3668601,J. Chang; X. Zhou; L. Wang; D. Lo; B. Li,2026,IEEE+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,4,IEEE Transactions on Software Engineering; cs.SE,TSE
BugPilot: Complex Bug Generation for Efficient Learning of SWE Skills,,Atharv Sonwane; Isadora White; Hyunji Lee; Matheus Pereira; Lucas Caccia; Minseon Kim; Zhengyan Shi; Chinmay Singh; Alessandro Sordoni; Marc-Alexandre Côté; Xingdi Yuan,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICLR 2026,ICLR
Building Coding Agents via Entropy-Enhanced Multi-Turn Preference Optimization,,Jiahao Yu; Zelei Cheng; Xian Wu; Xinyu Xing,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
ByteCue: enhancing bytecode comment generation with API information,10.1145/3772717,"Huang, Yuan and Chen, Junqi and Chen, Xiangping and Zhang, Neng and Yang, Changlin and Zheng, Zibin",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Causal state binding predicts action control in language agents,,Xiao Jia,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
Closing the Loop: Universal Repository Representation with RPG-Encoder,,Jane Luo; Chengyu Yin; Xin Zhang; Qingtao Li; Steven Liu; Yiming Huang; Jie Wu; Hao Liu; Yangyu Huang; Yu Kang; Fangkai Yang; Ying Xin; Scarlett Li,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL; ICML 2026,ICML
Co-PatcheR: Collaborative Software Patching with Component(s)-specific Small Reasoning Models,,Yuheng Tang; Hongwei Li; Kaijie Zhu; Michael Yang; Yangruibo Ding; Wenbo Guo,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.AI; NeurIPS 2025,NeurIPS
Code Graph Model (CGM): A Graph-Integrated Large Language Model for Repository-Level Software Engineering Tasks,,Hongyuan Tao; Ying Zhang; Zhenhao Tang; Hongen Peng; Xukun Zhu; Bingchang Liu; Yingguang Yang; Ziyin Zhang; Zhaogui Xu; Haipeng Zhang; Linchao Zhu; Rui Wang; Hang Yu; Jianguo Li; Peng Di,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS 2025,NeurIPS
Codellm-Devkit: A Framework for Contextualizing Code LLMs with Program Analysis Insights,10.1145/3696630.3728555,"Krishna, Rahul and Pan, Rangeet and Sinha, Saurabh and Tamilselvam, Srikanth and Pavuluri, Raju and Vukovic, Maja",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
CodeMonkeys: Scaling Test-Time Compute for Software Engineering,,Ryan Ehrlich; Bradley Brown; Jordan Juravsky; Ronald Clark; Christopher Ré; Azalia Mirhoseini,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.LG,arXiv
CodeR: Issue Resolving with Multi-Agent and Task Graphs,,Dong Chen; Shaoxin Lin; Muhan Zeng; Daoguang Zan; Jian-Gang Wang; Anton Cheshkov; Jun Sun; Hao Yu; Guoliang Dong; Artem Aliev; Jie Wang; Xiao Cheng; Guangtai Liang; Yuchi Ma; Pan Bian; Tao Xie; Qianxiang Wang,2024,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
CodeScout: An Effective Recipe for Reinforcement Learning of Code Search Agents,,Lintang Sutawika; Aditya Bharat Soni; Bharath Sriraam R R; Apurva Gandhi; Taha Yassine; Sanidhya Vijayvargiya; Yuchen Li; Xuhui Zhou; Yilin Zhang; Leander Melroy Maben; Graham Neubig,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
CODESKILL: Learning Self-Evolving Skills for Coding Agents,,Yanzhou Li; Yiran Zhang; Xiaoyu Zhang; Xiaoxia Liu; Yang Liu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
CODESTRUCT: Code Agents over Structured Action Spaces,,Myeongsoo Kim; Joe Hsu; Dingmin Wang; Shweta Garg; Varun Kumar; Murali Krishna Ramanathan,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ACL 2026,ACL
CodeV: Issue Resolving with Visual Data,,Linhao Zhang; Daoguang Zan; Quanshun Yang; Zhirong Huang; Dong Chen; Bo Shen; Tianyu Liu; Yongshun Gong; Pengjie Huang; Xudong Lu; Guangtai Liang; Lizhen Cui; Qianxiang Wang,2024,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; Findings of ACL 2025; ACL (Findings),ACL
CodexGraph: Bridging Large Language Models and Code Repositories via Code Graph Databases,,Xiangyan Liu; Bo Lan; Zhiyuan Hu; Yang Liu; Zhicheng Zhang; Fei Wang; Michael Shieh; Wenmeng Zhou,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NAACL 2025,NAACL
Coding Agents with Multimodal Browsing are Generalist Problem Solvers,,Aditya Bharat Soni; Boxuan Li; Xingyao Wang; Valerie Chen; Graham Neubig,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL; ICML 2025; ICML Workshop,ICML
Collu-Bench: A Benchmark for Predicting Language Model Hallucinations in Code,,Nan Jiang; Qi Li; Lin Tan; Tianyi Zhang,2024,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Compressing Code Context for LLM-based Issue Resolution,,Haoxiang Jia; Earl T. Barr; Sergey Mechtaev,2026,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; ASE 2026,ASE
Context as a Tool: Context Management for Long-Horizon SWE-Agents,,Shukai Liu; Jian Yang; Bo Jiang; Yizhi Li; Jinyang Guo; Xianglong Liu; Bryan Dai,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL; Findings of ACL 2026,ACL
ContextBench: A Benchmark for Context Retrieval in Coding Agents,,Han Li; Letian Zhu; Bohan Zhang; Rili Feng; Jiaming Wang; Yue Pan; Earl T. Barr; Federica Sarro; Zhaoyang Chu; He Ye,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.LG,arXiv
CORE: Resolving Code Quality Issues using LLMs,10.1145/3643762,"Wadhwa, Nalin and Pradhan, Jui and Sonwane, Atharv and Sahu, Surya Prakash and Natarajan, Nagarajan and Kanade, Aditya and Parthasarathy, Suresh and Rajamani, Sriram",2024,ACM,SE-G1 AND AI-G1,1,FSE/ESEC,FSE
CoRet: Improved Retriever for Code Editing,,Fabio Fehr; Prabhu Teja Sivaprasad; Luca Franceschi; Giovanni Zappella,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.LG; ACL 2025 (Short Papers),ACL
CoreThink: A Symbolic Reasoning Layer to reason over Long Horizon Tasks with LLMs,,Jay Vaghasiya; Omkar Ghugarkar; Vishvesh Bhat; Vipul Dholaria; Julian McAuley,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
CWM: An Open-Weights LLM for Research on Code Generation with World Models,,FAIR CodeGen team; Jade Copet; Quentin Carbonneaux; Gal Cohen; Jonas Gehring; Jacob Kahn; Jannik Kossen; Felix Kreuk; Emily McMilin; Michel Meyer; Yuxiang Wei; David Zhang; Kunhao Zheng; Jordi Armengol-Estapé; Pedram Bashiri; Maximilian Beck; Pierre Chambon; Abhishek Charnalia; Chris Cummins; Juliette Decugis; Zacharias V. Fisches; François Fleuret; Fabian Gloeckle; Alex Gu; Michael Hassid; Daniel Haziza; Badr Youbi Idrissi; Christian Keller; Rahul Kindi; Hugh Leather; Gallil Maimon; Aram Markosyan; Francisco Massa; Pierre-Emmanuel Mazaré; Vegard Mella; Naila Murray; Keyur Muzumdar; Peter O'Hearn; Matteo Pagliardini; Dmitrii Pedchenko; Tal Remez; Volker Seeker; Marco Selvi; Oren Sultan; Sida Wang; Luca Wehrstedt; Ori Yoran; Lingming Zhang; Taco Cohen; Yossi Adi; Gabriel Synnaeve,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
CoRNStack: High-Quality Contrastive Data for Better Code Retrieval and Reranking,,Tarun Suresh; Revanth Gangi Reddy; Yifei Xu; Zach Nussbaum; Andriy Mulyar; Brandon Duderstadt; Heng Ji,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
CodeScout: Contextual Problem Statement Enhancement for Software Agents,,Manan Suri; Xiangci Li; Mehdi Shojaie; Songyang Han; Chao-Chun Hsu; Shweta Garg; Aniket Anand Deshmukh; Varun Kumar,2026,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
Confucius Code Agent: An Open-sourced AI Software Engineer at Industrial Scale,,Zhaodong Wang; Zhenting Qi; Sherman Wong; Nathan Hu; Samuel Lin; Jun Ge; Erwin Gao; Yining Yang; Ben Maurer; Wenlin Chen; David Recordon; Yilun Du; Minlan Yu; Ying Zhang,2025,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
DARS: Dynamic Action Re-Sampling to Enhance Coding Agent Performance by Adaptive Tree Traversal,,Vaibhav Aggarwal; Ojasv Kamal; Abhinav Japesh; Zhijing Jin; Bernhard Schölkopf,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL; ACL 2025,ACL
Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents,,Jenny Zhang; Shengran Hu; Cong Lu; Robert Lange; Jeff Clune,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; ICLR 2026,ICLR
Debug2Fix: Supercharging Coding Agents with Interactive Debugging Capabilities,,Huang Garg,2026,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
daVinci-Dev: Agent-native Mid-training for Software Engineering,,Ji Zeng; Dayuan Fu; Tiantian Mi; Yumin Zhuang; Yaxing Huang; Xuefeng Li; Lyumanshan Ye; Muhang Xie; Qishuo Hua; Zhen Huang; Mohan Jiang; Hanning Wang; Jifan Lin; Yang Xiao; Jie Sun; Yunze Wu; Pengfei Liu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
daVinci-Env: Open SWE Environment Synthesis at Scale,,Dayuan Fu; Shenyu Wu; Yunze Wu; Zerui Peng; Yaxing Huang; Jie Sun; Ji Zeng; Mohan Jiang; Lin Zhang; Yukun Li; Jiarui Hu; Liming Liu; Jinlong Hou; Pengfei Liu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Decision-Aware Memory Cards: Counterfactual-Inspired Context Selection and Compression for Tool-Using LLM Agents,,Xinyu Guan; Qianyang Zhao; Yuming Deng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Demystifying LLM-Based Software Engineering Agents,10.1145/3715754,"Xia, Chunqiu Steven and Deng, Yinlin and Dunn, Soren and Zhang, Lingming",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,FSE/ESEC,FSE
Detecting Protracted Vulnerabilities in Open Source Projects,10.1145/3809490,"Sridharkumar, Arjun and Al Hajj Ibrahim, Sara and Zhou, Jiayuan and Wang, Yuliang and Hassan, Safwat and Hassan, Ahmed E. and Zhou, Shurui",2026,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,,Kexun Zhang; Weiran Yao; Zuxin Liu; Yihao Feng; Zhiwei Liu; Rithesh Murthy; Tian Lan; Lei Li; Renze Lou; Jiacheng Xu; Bo Pang; Yingbo Zhou; Shelby Heinecke; Silvio Savarese; Huan Wang; Caiming Xiong,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICLR 2025,ICLR
Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,,Kai Yu; Zhenhao Zhou; Junhao Zeng; Ying Wang; Xueying Du; Zhiqiang Yuan; Junwei Liu; Ziyu Zhou; Yujia Wang; Chong Wang; Xin Peng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
DPO-F+: Aligning Code Repair Feedback with Developers' Preferences,,Zihan Fang; Yifan Zhang; Yueke Zhang; Kevin Leach; Yu Huang,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Does SWE-Bench-Verified Test Agent Ability or Model Memory?,,Thanosan Prathifkumar; Noble Saji Mathews; Meiyappan Nagappan,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Dynamic Cogeneration of Bug Reproduction Test in Agentic Program Repair,,Runxiang Cheng; Michele Tufano; José Cambronero; Renyao Wei; Sherry Shi; Grant Uy; Pat Rondon; Franjo Ivančić,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; FSE 2026 (Industry Track); FSE/ESEC,FSE
Echo: Graph-Enhanced Retrieval and Execution Feedback for Issue Reproduction Test Generation,,Zhiwei Fei; Yue Pan; Federica Sarro; Jidong Ge; Marc Liu; Vincent Ng; He Ye,2026,arXiv,SE-G2 AND AI-G2,1,cs.SE,arXiv
EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents,,Yaoqi Guo; Ying Xiao; Jie M. Zhang; Mark Harman; Yiling Lou; Yang Liu; Zhenpeng Chen,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ACL 2026 (Findings); ACL (Findings),ACL
Enhancing Automated Program Repair with Solution Design,10.1145/3691620.3695537,"Zhao, Jiuang and Yang, Donghao and Zhang, Li and Lian, Xiaoli and Yang, Zitian and Liu, Fang",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
Enhancing Issue Localization Agent with Tool-Interactive Training,,Zexiong Ma; Chao Peng; Qunhong Zeng; Pengfei Gao; Yanzhen Zou; Bing Xie,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Enhancing repository-level software repair via repository-aware knowledge graphs,,Boyang Yang; Jiadong Ren; Shunfu Jin; Yang Liu; Feng Liu; Bach Le; Haoye Tian,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Evaluating AGENTS.md: Are Repository-Level Context Files Helpful for Coding Agents?,,Thibaud Gloaguen; Niels Mündler; Mark Müller; Veselin Raychev; Martin Vechev,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,"cs.SE; AIWILD @ ICML 2026; MemAgents @ ICLR 2026 (Oral, Runner-up Best Paper)",ICML
Evaluating and Improving Automated Repository-Level Rust Issue Resolution with LLM-based Agents,,Jiahong Xiang; Wenxiao He; Xihua Wang; Hongliang Tian; Yuqun Zhang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE 2026 (Research Track),ICSE
